9
Ketchup Tomato Sausage Bread Egg Lettuce
3
Kroger 6
Ketchup 1.19
Tomato 0.99
Sausage 4.79
Bread 1.99
Egg 3.99
Lettuce 2.99
Walmart 5
Ketchup 1.09
Tomato 0.89
Sausage 5.99
Bread 1.19
Egg 4.99
Costco 6
Ketchup 1.99
Tomato 0.79
Sausage 3.99
Bread 1.09
Egg 5.79
Lettuce 1.99
milk bread eggs
2
Walmart 3
milk 2.50
bread 1.00
eggs 3.00
Target 2
milk 2.75
eggs 2.50
rice beans chicken lettuce
3
Costco 2
rice 1.20
chicken 4.50
WholeFoods 3
rice 1.10
beans 1.50
lettuce 2.30
TraderJoes 4
rice 1.25
beans 1.45
chicken 4.40
lettuce 2.25
apple cereal juice
3
FreshMart 2
apple 1.20
juice 2.50
QuickStop 3
apple 1.10
cereal 3.40
juice 2.45
GroceryGalaxy 1
cereal 3.30
pasta tuna sauce cheese
2
BudgetFoods 3
pasta 1.50
sauce 2.00
cheese 2.75
SaverDepot 4
pasta 1.45
tuna 2.20
sauce 1.95
cheese 2.60
sugar flour butter eggs
3
MegaMart 3
sugar 9223372036854775807.00
flour 123456789123456789.75
butter 987654321987654321.50
QuickBuy 4
sugar 3000000000000000000.25
flour 2000000000000000000.00
butter 1000000000000000000.99
eggs 4000000000000000000.10
BudgetGrocer 2
flour 1500000000000000000.45
eggs 3900000000000000000.88
rice beans lentils oil
2
BigBasket 4
rice 2147483647214748364.33
beans 3221225472322122547.75
lentils 8112233445811223344.55
oil 9000000000900000000.00
FreshFields 3
rice 1000000000000000000.01
beans 2000000000000000000.10
oil 8000000000000000000.60
apple banana orange mango grape
2
Fruitopia 4
apple 7000000000000000000.77
banana 6500000000000000000.11
orange 8800000000000000000.99
mango 6200000000000000000.01
TropicalMart 3
banana 6700000000000000000.12
grape 7900000000000000000.30
orange 8100000000000000000.80
honey grapes xylitol udon onion lemon flour watermelon dates quinoa
15
Store1 6
dates 4.497839562092276e+18
flour 7.419475294845732e+18
onion 4.2412828018628685e+17
udon 4.598449137743239e+18
watermelon 7.877801660802735e+18
xylitol 2.2442667656067983e+18
Store2 8
dates 8.505551460673843e+18
xylitol 6.669836223620347e+16
flour 8.910764623194308e+18
lemon 2.5111304600930273e+18
onion 5.161520328848945e+18
udon 3.6682285778199634e+18
quinoa 3.342067234790951e+18
watermelon 7.636120568803468e+18
Store3 8
watermelon 7.903248186453449e+18
xylitol 5.127306585553494e+18
flour 2.88494805123608e+17
grapes 6.073931276480829e+18
onion 6.843974615667957e+18
udon 1.2595639364021458e+18
honey 1.1300977337955735e+18
dates 4.956056596828567e+18
Store4 10
flour 8.284977502684826e+18
dates 8.058152714988457e+18
honey 3.432703996807756e+18
lemon 8.199114338573089e+18
