team23	15	880
team46	14	840
team2	12	715
team32	12	720
team50	12	720
team40	11	640
team36	11	640
team5	11	660
team3	10	585
team8	10	590
team12	10	600
team18	10	600
team24	10	600
team42	10	600
team49	10	600
team19	9	530
team48	9	535
team4	9	535
team45	9	535
team88	9	535
team21	9	535
team14	8	470
team80	8	475
team47	8	480
team9	8	480
team26	8	480
team39	8	480
team60	7	405
team20	7	410
team11	7	415
team43	7	415
team16	7	420
team56	7	420
team61	7	420
team10	6	350
team81	6	350
team25	6	355
team41	6	360
team79	5	290
team17	5	295
team67	5	295
team62	5	295
team1	5	295
team86	5	295
team59	5	295
team30	4	225
team53	4	230
team13	4	230
team28	4	235
team85	4	240
team37	4	240
team74	4	240
team54	3	175
team35	3	180
team33	3	180
team76	2	110
team63	2	110
team78	2	115
team73	2	115
team82	2	120
team6	2	120
team57	2	120
team69	2	120
team34	1	55
team31	1	60
team84	1	60
team22	1	60
team7	1	60
team15	0	0
team27	0	0
team29	0	0
team38	0	0
team44	0	0
team51	0	0
team52	0	0
team55	0	0
team58	0	0
team64	0	0
team65	0	0
team66	0	0
team68	0	0
team70	0	0
team71	0	0
team72	0	0
team75	0	0
team77	0	0
team83	0	0
team87	0	0
team89	0	0
