10
3.0 1
123.4 372.9 34.9 54.9 89.3
30.4 50.9 40.0 78.2 0
-50.4 -143.98 212.12 67.9 45
4.0 1
-100.23 -300.59 212.59 89.89 0
-456.39 39.87 39.08 78.87 34.54
341.23 -490.78 -103.45 100.43 67.18
3.33 2
10 10 10 2 3
-10 -10 -10 2 4
0 0 0 2 0
30.0 2
10 10 10 2 0
20 -10 40 2 1
-20 50 -30 2 2
30.0 1
10 10 10 2 0
20 -10 40 2 1
-20 50 -30 2 2
30.0 3
10 10 10 2 0
20 -10 40 2 1
-20 50 -30 2 2
30.03 1
10 10 10 2 0
20 -10 40 2 1
-20 50 -30 2 2
65.6 2
234.5 -486.93 12.5 23.9 0
-212.2 1254.98 -598.123 39.57 54.98
1457.38 -2983.32 892.2 31.49 48.76
30.0 3
10 10 10 25 0
20 -10 40 25 1
-20 50 -30 25 2
190 1
12.34 23.45 45.67 56.78 0
-4738.29 5364.5 -3892 67.89 43
5739 -2738.49 4728.3 78.90 34
