100
634 976
D -149.64 606.62 986.06
D -858.58 -707.12 288.10
C 808.94 -745.68 265.28
D -30.66 -980.57 490.81
C -476.85 -713.30 25.11
C -763.51 -298.53 95.26
C -562.83 -338.19 12.14
D 578.23 -237.44 98.88
C 751.37 -119.97 52.39
C 770.71 10.63 25.82
D 894.56 445.95 37.06
D 409.64 -675.49 2.99
D 982.78 950.83 77.18
D 448.28 -456.41 118.72
C 240.57 -404.71 67.12
C -890.42 -174.89 23.00
D -77.41 -402.54 13.28
C 830.13 979.67 25.52
C 959.62 268.93 33.66
C 516.07 -890.21 9.62
D -436.61 -450.04 72.72
C 864.96 145.94 5.02
C 115.28 -387.33 37.65
D 847.39 -58.11 14.35
C 895.55 759.61 46.06
C -584.55 -999.28 19.89
C 997.57 -998.86 1.17
C -669.70 -379.63 25.33
C -557.04 -558.57 42.83
C 793.29 -402.40 47.56
D 485.85 -739.34 36.82
C 784.69 72.24 32.10
C -938.21 -334.05 22.85
D 677.09 -415.07 9.33
D 698.12 29.20 37.94
D 965.51 80.66 37.25
D -198.25 -401.82 22.58
D 951.42 -89.40 27.27
C 839.69 49.19 22.46
C 909.88 -379.48 50.41
C -42.57 -427.71 11.93
D -545.65 -433.74 2.13
C -989.40 -189.16 62.13
D -313.46 -471.32 34.94
D 658.57 -354.50 27.43
D 840.13 -141.96 30.69
D -799.25 -174.33 22.43
C 850.14 -250.22 32.14
C 981.49 590.68 23.54
C 792.14 -298.95 7.96
C 903.54 569.14 46.36
C -466.22 -572.32 25.85
C 976.74 -196.65 14.17
D 273.25 -549.81 33.37
D 318.47 -328.99 14.89
D 734.36 105.96 6.81
D 187.70 -513.16 7.59
C -994.74 -987.79 15.23
D 847.09 710.70 3.30
D -842.52 -126.35 7.95
D -481.17 -655.74 1.82
C 765.96 -361.26 0.11
C 677.72 -90.69 16.22
C -937.36 -51.96 38.90
D 967.25 -266.84 2.64
D 911.38 173.55 32.06
C 603.65 -506.25 23.06
C -156.84 -459.44 33.21
D 867.77 640.30 13.77
C -980.34 -74.44 1.57
D 502.61 -988.92 6.15
D -597.92 -487.39 31.77
D -552.92 -962.24 0.29
C 878.48 -201.99 8.14
D 356.34 -350.17 21.38
D 457.26 -216.28 13.94
D 344.35 -586.28 10.55
D 808.01 147.59 32.33
C -621.14 -425.35 11.76
D 661.83 -464.58 2.90
C -515.35 -377.63 32.99
D 830.02 -462.38 3.35
D -24.52 -416.78 3.40
D -360.40 -547.80 32.77
D -651.99 -471.43 12.72
C 855.08 287.12 25.46
C -542.95 -772.03 29.52
D 910.33 -122.76 23.50
C 485.59 -954.69 3.70
D -383.68 -375.36 6.85
C 992.17 -477.41 13.66
D 853.67 875.80 27.50
C 856.25 358.87 16.32
C -283.22 -388.79 15.50
C -557.97 -700.44 3.36
D 948.98 402.69 12.91
C 747.75 -51.97 6.23
C 492.60 -909.02 20.18
D 900.77 900.24 3.58
C -346.80 -583.98 1.25
D 933.07 323.61 5.68
C 810.76 873.60 3.15
C 907.72 285.95 3.57
D 621.40 -36.18 8.50
D -568.59 -613.05 5.05
D 985.81 201.49 16.45
C 971.07 462.08 31.24
D -434.64 -634.94 28.09
C -705.02 -441.20 8.51
D 319.28 -418.08 1.24
C 312.80 -522.55 8.03
C 995.91 361.84 17.16
D 990.24 778.66 2.41
C 540.22 -827.97 9.44
C 722.90 -438.74 2.93
C 348.23 -306.31 21.36
