10 8
Holman:3.5
Sabre:20.6
Hewlett-Packard:87.4
Intel:74.5
AAA:212.1
BBB:212.1
CCC:1.3
DDD:10.7
3
Benjamin Armstrong CEO Sabre 75
Matthew Sheldon CTO Hewlett-Packard 68
Derrick Martin CPO Hewlett-Packard 67
2
Ariel Hatley CPO Sabre 65
William Armstrong CEO Sabre 76
2
A A CEO Sabre 70
B B CEO Intel 70
2
A A CEO Sabre 70
B B Manager Sabre 70
2
A A CTO AAA 70
B B CPO AAA 69
2
A A COO AAA 70
B B CFO BBB 71
2
A A VP CCC 70
B B VP DDD 70
2
A A VP CCC 70
B B VP CCC 70
5
A A CEO DDD 70
B B COO DDD 71
C C CFO DDD 72
D D CTO DDD 73
E E CPO DDD 74
1
Ariel Hatley CPO Sabre 65
