250000
6 9 20
6 20 9
9 6 20
9 20 6
20 6 9
20 9 6
667 464 276
91 156 112
2 64 89
235 60 846
799 658 102
35 49 25
287 820 126
629 370 272
143 55 104
377 91 522
779 304 574
4 71 84
70 40 77
7 83 84
2 42 13
731 215 204
161 299 42
15 20 9
5 15 79
1457 279 282
213 354 472
1247 344 261
221 169 204
12 32 21
3 27 53
779 133 820
1333 387 248
287 246 98
2021 731 658
731 136 860
517 235 99
391 92 187
403 221 372
4 52 37
22 16 77
5 30 13
21 39 49
21 35 6
11 55 53
493 187 551
1763 533 86
20 44 65
611 705 52
25 100 71
319 580 77
119 153 56
551 76 261
2 82 19
697 306 287
3 93 71
129 860 51
65 117 50
1081 230 141
299 207 182
161 21 92
1271 656 465
9 55 63
319 87 22
52 68 65
33 77 27
1271 451 496
253 138 165
13 91 31
32 64 5
799 611 238
493 170 464
77 55 91
287 56 246
407 99 629
697 170 246
341 589 33
851 391 592
22 28 121
319 232 132
779 451 361
799 282 323
62 589 28
21 133 39
1927 423 533
10 25 14
527 124 306
217 126 155
377 522 260
77 56 165
1457 465 893
713 93 92
1333 645 558
2021 376 817
481 26 259
87 551 54
527 341 34
7 57 91
17 34 75
437 414 95
943 287 414
115 138 70
62 465 36
145 55 377
513 38 81
851 253 222
817 387 228
10 24 25
403 217 104
817 266 559
319 464 132
1363 235 377
55 143 35
5 35 16
1517 481 328
817 380 688
533 451 26
46 40 253
6 73 54
33 21 209
817 209 774
123 451 24
799 170 705
5 45 92
1271 615 434
3 13 87
7 4 35
2 55 58
87 48 145
299 195 207
1073 555 406
323 304 289
203 119 522
301 172 35
133 323 77
629 170 666
3 19 21
2 70 47
21 6 77
62 589 18
520 80 91
737 858 603
533 779 195
1763 574 430
1081 460 846
299 104 207
28 96 49
589 527 133
26 38 39
69 161 39
407 481 22
9 27 37
817 285 731
217 49 62
703 555 133
247 117 133
2021 893 516
1271 697 124
3 63 73
779 615 209
611 846 169
56 21 16
851 391 666
2 62 15
22 209 6
40 96 25
591 992 186
155 558 80
5 15 89
329 49 752
115 30 92
123 82 51
16 64 85
899 145 434
851 74 391
589 380 527
407 132 259
3 79 30
1363 174 188
203 493 56
943 345 164
551 380 232
989 516 414
10 30 67
15 10 63
989 301 299
5 45 7
58 8 319
799 423 340
1927 451 846
117 63 26
713 184 217
667 377 230
185 74 75
123 33 82
611 329 26
5 44 15
2 52 81
119 70 221
19 722 885
230 69 50
29 87 11
15 83 60
713 496 230
19 7 57
341 279 121
437 247 414
69 322 24
517 88 282
70 370 819
2 7 82
341 88 93
259 481 126
221 143 289
904 369 2
559 65 172
235 282 45
143 195 121
329 14 705
301 258 119
720 605 16
3 69 71
143 132 65
899 310 87
341 527 209
86 387 12
3 13 93
1739 752 259
952 34 619
1457 846 155
5 85 98
2 5 24
893 57 188
22 89 88
270 371 90
437 133 414
2021 172 423
26 65 86
1763 820 301
14 49 20
1073 319 740
1763 387 574
667 406 92
989 301 230
731 774 238
2 42 41
301 77 688
259 42 629
129 860 33
87 33 290
247 361 143
11 33 28
145 15 493
24 81 88
7 29 21
473 430 198
731 238 430
93 9 496
451 220 779
899 434 116
25 100 37
377 91 58
1333 559 620
703 133 222
1927 246 705
2 47 4
46 6 161
15 57 50
527 434 136
12 97 96
391 255 253
62 4 93
329 188 70
7 49 17
5 30 79
35 91 45
34 68 47
13 9 26
45 90 53
989 387 276
26 22 65
2 79 74
1333 301 527
437 460 171
574 123 894
2 76 13
85 70 51
6 45 82
15 18 55
204 653 816
93 15 589
33 15 143
899 551 434
31 62 83
57 209 6
451 110 656
391 221 276
1739 658 740
4 92 99
39 169 24
21 63 44
851 46 555
94 705 38
1189 377 574
65 90 182
943 615 230
851 148 138
481 592 130
133 190 105
287 82 35
33 39 176
899 290 217
11 33 101
91 221 35
93 217 60
551 380 87
6 90 23
133 190 126
57 27 304
1739 940 333
115 60 437
10 101 50
3 5 21
377 130 464
23 92 11
5 95 11
7 67 21
7 77 41
287 779 140
713 115 558
133 114 28
143 33 52
69 230 27
235 20 282
1591 518 473
1247 344 406
8 101 80
5 89 35
3 93 100
943 207 287
5 15 7
3 54 31
235 846 65
55 65 22
119 133 136
851 222 460
473 215 44
253 391 77
21 35 54
136 51 16
22 94 77
259 407 35
23 41 92
30 62 45
33 54 176
77 98 209
2 34 47
15 69 95
27 54 73
899 319 589
611 752 117
36 40 81
4 83 40
551 522 152
235 94 55
12 23 84
1517 779 592
215 387 10
21 13 42
451 187 123
731 289 344
155 55 124
207 46 27
1247 774 551
713 368 186
5 25 71
141 45 893
185 703 10
129 57 430
140 56 65
533 52 738
817 860 209
893 846 209
14 56 87
55 209 85
143 44 182
287 82 63
403 279 156
1147 434 222
217 49 589
552 41 451
115 276 50
493 119 232
93 620 33
407 629 176
9 62 81
57 323 6
830 415 997
1333 129 124
611 169 846
799 705 204
2021 774 893
697 255 492
299 78 115
2 29 34
185 666 95
407 444 121
667 493 138
26 143 30
377 130 464
481 130 259
82 34 615
1363 423 319
4 88 3
6 25 78
2 84 41
74 407 26
329 126 188
899 174 155
527 34 155
12 24 41
2 93 92
667 145 253
215 25 473
2 15 68
74 111 34
7 99 35
5 73 20
187 289 198
329 893 112
2 85 26
1247 174 602
8 101 40
37 53 74
31 93 83
629 555 306
377 247 406
119 170 112
94 8 893
6 72 19
779 266 410
253 209 368
1271 465 492
299 247 115
1927 705 697
629 289 444
15 45 61
3 75 8
253 55 414
6 9 14
533 234 820
123 30 533
799 752 51
90 27 80
473 44 731
697 238 205
217 279 56
589 190 217
6 45 20
23 92 13
527 68 93
13 44 91
95 40 247
21 6 49
185 85 222
799 119 423
13 91 59
39 143 51
517 188 165
945 517 9
341 496 209
1363 406 752
697 123 323
133 119 209
989 276 602
667 319 414
10 28 55
49 41 98
1457 423 155
133 70 114
287 35 738
209 323 176
851 184 518
77 165 126
187 165 289
551 174 76
1073 740 319
91 65 77
3 73 51
943 451 345
403 93 260
1333 860 589
16 5 64
2 48 11
527 119 341
115 15 161
989 387 184
217 105 620
667 115 261
13 51 26
899 124 87
629 222 170
1739 481 423
851 253 148
319 348 154
18 54 31
1457 279 376
2 23 6
46 437 16
115 138 25
91 260 84
851 184 370
4 96 77
1927 779 188
391 221 69
119 91 170
82 779 22
1363 658 87
473 220 301
1073 406 370
1457 403 141
4 31 72
209 57 22
1517 259 205
69 39 184
217 14 589
15 9 55
5 23 55
473 731 33
451 22 697
299 65 46
697 255 738
145 551 25
301 28 731
187 143 170
