12 19 32 50 65
11 17 31 60 63
15 29 0 52 75
3 24 38 55 62
6 18 39 46 67
5
10 832879235897
15 22 36 59 61
3 19 35 51 74
2 18 0 52 71
7 21 45 54 73
13 23 33 58 64
6 27 34 56 75
12 26 44 53 62
3 22 0 59 72
4 25 43 54 66
15 21 33 48 74
3 24 37 48 72
10 17 31 47 75
14 22 0 52 71
6 19 34 54 74
8 18 33 60 63
7 22 32 57 68
11 16 33 58 67
14 30 0 55 64
9 21 44 56 62
13 25 42 50 63
2 20 36 47 75
4 17 35 46 73
14 23 0 51 70
12 22 31 56 68
13 21 43 48 72
1 22 37 57 67
5 30 32 54 74
2 19 0 47 68
14 28 43 59 64
15 20 42 49 65
8 30 44 60 74
11 28 40 56 71
5 20 0 46 61
3 21 32 54 65
10 22 43 57 66
4 23 42 54 62
15 25 39 60 63
5 17 0 49 66
7 18 43 58 74
13 24 35 46 67
5 28 38 54 72
2 16 43 46 71
13 21 0 60 65
10 26 44 49 74
3 18 41 50 73
7 21 42 47 65
3 29 31 53 73
11 26 0 52 66
5 19 41 56 69
10 16 37 59 64
10 28395728357
13 28 38 55 73
12 16 33 51 71
6 17 0 46 65
1 25 31 47 61
7 29 35 49 74
12 21 37 46 65
10 23 45 55 67
11 29 0 48 74
4 28 40 54 75
1 20 36 50 68
3 28 38 56 70
14 17 33 52 71
5 23 0 50 68
1 16 31 47 66
13 26 32 51 64
7 26 39 60 75
10 28 38 54 65
13 30 0 51 73
11 17 35 58 67
4 22 40 52 70
10 19 44 53 73
3 17 32 55 72
6 16 0 48 69
11 26 40 46 70
13 29 35 58 67
12 22 45 59 73
1 28 37 47 64
6 19 0 54 72
15 25 35 50 67
7 21 43 52 71
1 16 39 49 74
13 18 41 48 73
3 29 0 59 61
10 25 32 54 63
11 23 31 55 69
11 30 42 58 62
15 21 40 50 68
5 22 0 55 64
7 25 34 49 71
1 16 43 53 75
2 30 33 47 63
8 20 35 58 61
14 19 0 49 75
6 29 32 60 67
1 28 44 57 65
15 26 43 49 62
9 18 45 47 72
8 29 0 48 73
13 30 39 59 74
2 17 34 53 64
10 9820123026236
7 23 39 58 67
14 18 42 54 63
1 25 0 48 62
6 27 40 57 70
2 28 37 60 64
13 27 43 60 61
5 18 31 55 68
6 24 0 47 63
1 23 40 58 75
7 17 45 46 71
1 27 41 52 66
13 17 42 48 61
12 28 0 57 74
3 24 45 47 65
2 16 44 59 70
3 21 36 57 73
4 27 31 55 71
12 20 0 46 66
9 18 35 54 62
2 29 41 50 65
11 17 41 46 71
4 25 42 49 67
8 26 0 53 70
3 19 38 59 75
10 18 44 60 66
1 27 44 57 75
8 24 34 56 63
7 30 0 60 61
12 16 36 52 70
15 28 32 58 74
5 25 41 60 61
6 29 37 46 63
8 18 0 52 67
1 27 39 59 69
3 21 35 53 70
2 20 31 59 69
8 19 38 58 75
12 17 0 49 62
15 24 32 56 63
1 23 44 48 64
5 24 45 57 65
4 21 43 52 69
12 22 0 49 67
14 16 37 54 72
7 18 32 55 68
1 29 36 47 61
14 23 39 59 72
8 17 0 46 74
3 26 34 53 66
13 30 38 52 62
10 40986024986
12 22 35 52 69
6 27 38 53 75
1 24 0 54 71
7 28 40 46 61
2 23 41 48 66
9 24 34 49 69
12 25 36 52 61
14 18 0 51 64
7 23 37 55 67
2 20 32 54 71
5 27 32 59 66
8 16 44 53 72
11 30 0 57 68
2 18 33 47 73
4 19 45 60 61
15 26 39 52 64
2 18 45 46 67
3 20 0 60 65
14 24 31 54 75
13 25 34 58 61
12 17 35 48 67
7 21 43 47 63
15 28 0 54 75
11 27 40 58 66
4 24 38 53 70
3 17 43 52 72
6 16 44 48 62
4 29 0 60 71
13 26 38 46 68
15 21 39 59 69
7 23 40 59 69
15 18 43 60 71
6 20 0 46 62
4 22 32 51 65
9 25 33 54 64
11 18 31 55 75
9 17 42 52 63
14 30 0 51 67
7 27 43 47 69
4 22 37 49 72
1 24 44 59 62
10 25 32 54 69
3 18 0 49 71
9 23 33 50 73
6 26 36 60 68
15 23 31 55 73
11 26 34 51 65
13 28 0 57 75
9 21 33 50 70
4 27 42 59 66
10 133496346098
6 29 36 56 61
7 24 38 60 65
10 30 0 47 69
4 17 44 51 75
15 21 33 48 72
10 21 37 52 74
8 27 43 55 65
14 22 0 47 70
15 28 36 53 64
2 23 32 59 75
12 22 33 59 74
7 16 36 55 67
9 29 0 57 64
8 24 38 54 61
10 18 32 46 69
10 30 40 53 73
1 25 42 48 69
5 24 0 50 66
2 20 33 56 72
6 27 45 51 70
5 23 36 46 72
10 24 44 54 74
12 18 0 51 73
14 21 41 50 64
13 20 37 60 71
3 16 40 51 71
6 26 34 53 65
8 21 0 54 63
10 23 33 56 68
14 25 44 49 74
14 28 35 53 71
6 17 34 49 73
5 16 0 56 67
8 21 39 59 69
1 19 33 60 74
4 29 43 46 72
8 18 41 54 63
13 26 0 58 64
5 24 42 60 65
3 27 34 48 68
2 20 41 48 67
8 30 34 59 64
15 27 0 51 61
6 22 43 52 71
5 24 45 53 63
15 25 36 53 73
1 21 32 52 65
4 16 0 46 66
5 18 45 49 69
3 26 31 56 70
